Model,Faithfulness,Answer Relevancy,Answer Correctness,Average
GPT-4o,0.9035734265734268,0.9308100338477271,0.6914087277324608,0.8419307293845382
GPT-4o-mini,0.8929887106357695,0.9432404022320158,0.6580325738176831,0.8314205622284895
Qwen3-8B,0.8389846558767979,0.911341060716213,0.6628442050626092,0.8043899738852067
Gemma3-12B,0.8851902051673217,0.8361604865226369,0.6907245568478623,0.8040250828459402
EXAONE-3.5-7.8B,0.7847536428712898,0.9025590787521771,0.6536068942373051,0.7803065386202573
GPT-OSS-20B,0.711085632103074,0.8233962218649827,0.5455864524634454,0.693356102143834
